Ranezi,64
MrAsh,60.5
Thunder01,59
JayBot2016,57.5
Poring,56
MctsAi,52
Tomatensimulator,44
IchibanChan,37
KeepYourDistanceBot,29
DragonSurvivor,26.5
Triump,20.5
Snorkel,15.5
BANZAI,15
iaTest,9.5
